PaperID,ReviewerID,Quality_of_writing,Originality,Relevance,Significance,Technical_quality,State,Confidence,Overall
p9,j,5,6,4,6,4,Rejected,7,4
p2,j,4,7,5,8,3,Accepted,7,2
p3,b,8,1,3,10,2,Rejected,2,1
p6,c,3,4,6,5,6,Rejected,8,7
p6,j,9,7,3,2,4,Rejected,8,5
p10,b,10,9,5,10,4,Accepted,3,2
p10,d,9,2,7,6,5,Accepted,2,8
p6,f,6,7,4,1,6,Rejected,10,2
p4,a,10,8,10,1,9,Rejected,10,8
p7,g,7,5,7,9,9,Accepted,2,1
p3,j,3,6,6,5,4,Rejected,2,1
p6,h,9,9,5,10,10,Rejected,4,5
p9,g,1,8,9,5,9,Rejected,8,3
p2,f,6,7,7,9,5,Accepted,4,8
p5,j,6,8,2,9,3,Rejected,5,2
p1,d,9,1,1,6,5,Rejected,8,5
p10,h,1,10,3,5,9,Accepted,1,1
p4,i,4,9,8,10,4,Rejected,9,1
p4,b,3,6,6,5,8,Rejected,4,10
p8,g,6,2,3,9,3,Rejected,6,5
p8,e,2,6,4,2,3,Rejected,4,6
p6,i,9,10,7,1,8,Rejected,2,8
p3,h,3,9,3,10,7,Rejected,10,1
p1,i,9,2,9,1,8,Rejected,6,6
p5,c,5,3,1,6,7,Rejected,8,6
p1,h,6,2,9,1,3,Rejected,8,8
p8,a,8,9,10,8,7,Rejected,10,5
p3,c,9,2,3,10,8,Rejected,2,9
p7,c,3,6,6,5,3,Accepted,5,7
p5,d,8,7,6,1,4,Rejected,3,7
p5,h,10,10,4,5,6,Rejected,4,2
p3,e,8,3,1,3,3,Rejected,2,10
p3,d,5,10,4,1,5,Rejected,5,10
p7,j,4,9,5,1,1,Accepted,2,8
p10,a,2,1,1,1,1,Accepted,6,5
p2,g,6,8,6,8,7,Accepted,3,5
p1,f,8,7,9,1,1,Rejected,10,9
